ABF	abej-'Ef
Drob	drOp
Drobk	drOpk
Drojk	drOYk
Družk	drus`k
Drěmk	drImk
Drěwc	drIwts
Drězg	drIsk
Dub	dup
Dubk	dupk
Duch	dux
Dušk	dus`k
Dwór	dw3r
Dyk	d3/*+k
Dyp	d3/*+p
Dłuzk	dwusk
EC	e'tse
EDV	ede'faw
EG	e'ge
EKG	ekHHa'ge
EWG	ewe'ge
El	El
Ems	Ems
Est	Est
FBI	Efbi'aI
Fin	f1n
Flam	fla:m
Fort	fOrt
Frank	fraNk
Franz	frants
Frat	frat
Friz	fri:s
Fudk	futk
Gaj	gaI
Gajk	gaIk
Gar	gar
Gat	gat
Gatk	gatk
Gel	gel
Gerc	g*jErts
Glinsk	glinsk
Gnil	gJil
Goch	gOx
Gort	gOrt
Grab	grap
Grabc	grapts
Grabk	grapk
Grabš	graps`
Grac	grats
Grack	gratsk
Gradc	grats
Gras	gras
Grib	grip
Grich	grix
Grjek	gr*jEk
Grob	grOp
Groch	grOx
Grod	grOt
Grodk	grOtk
Grom	grOm
Grot	grOt
Groš	grOs`
Grošk	grOs`k
Groźc	grOs+ts
Grys	gr3/*+s
Grysk	gr3/*+sk
Gryz	gr3/*+s
Gryzk	gr3/*+sk
Gutk	gutk
Gwizdź	gwists+
Gódk	g3tk
Gój	g3j
Gólc	g3lts
Gólck	g3ltsk
Gólk	g3lk
Gólsk	g3lsk
Gór	g3r
Górc	g3rts
Górk	g3rk
Górsk	g3rsk
Górš	g3rs`
Gósk	g3sk
Gózc	g3sts
Gózd	g3st
Gózdź	g3sts+
Gółb	g3wp
Góšk	g3s`k
Gěrt	gIrt
Gěrš	gIrs`
Głub	gwup
Głupsk	gwupsk
HIV	ha-i-'faw
Hac	?ats
Hajk	?aIk
Hajnk	?aINk
Hajńk	?aINk
Ham	?am
Hamš	?ams`
Hans	hans
Harc	?arts
Hatk	?atk
Hawš	?aUs`
Hańš	?aJs`
Hańšk	?aJs`k
Hesk	?Esk
Heš	?Es`
Hibk	?ipk
Hinsk	?insk
Hozk	?Osk
Hožk	?Os`k
Huj	?uj
Hujk	?ujk
Hulk	?ulk
Hus	?us
Husk	?usk
Hutk	?utk
Hušk	?us`k
Huž	?us`
Hykš	?3/*+ks`
Hync	?3/*+nts
Hypt	?3/*+pt
IC	i'tse
IP	aI'pi
Inn	1n
Jajc	jaIts
Jakš	jaks`
Jan	jan
Jank	jaNk
Jar	jar
Jark	jark
Jat	jat
Jańc	jaJts
Jańš	jaJs`
Jeck	jEtsk
Jerš	jErs`
Jetš	jEts`
Jeńš	jeJs`
Ješk	jEs`k
Job	jOp
Jobk	jOpk
Jokš	jOks`
Jomk	jOmk
Jop	jOp
Jopk	jOpk
Još	jOs`
Jošt	jOs`t
Jsach	sax
Jsam	sam
Jsow	soU
Jsu	su
Jsy	s3/*+
Jurc	jurts
Jurk	jurk
Just	just
Jěrš	jIrs`
Jětš	jIts`
Jěž	jIs`
KSZE	kHa-Es-tsEt-'ej
Kajn	kaIn
Kalc	kalts
Kap	kap
Karl	karl
Kask	kask
Kałk	kaUk
Kaš	kas`
Kašk	kas`k
Kelt	k*jElt
Kerk	k*jErk
Kezk	k*jEsk
Keŕ	k*jEr*j
Khmer	kmer
Kic	kits
Kij	ki
Kijc	kits
Kil	kil
Kilc	kilts
Kilk	kilk
Kiršt	kirs`t
Kjalc	kjalts
Kjask	kjask
Klajc	klaIts
Klaw	klaU
Klawk	klaUk
Klawš	klaUs`
Klawšk	klaUs`k
Klejc	klejts
Klich	klix
Klin	klin
Kliš	klis`
Klotk	klOtk
Kluč	kluts`
Klěb	klIp
Klěc	klIts
Klěšć	klIs+ts+
Kmótš	km3ts`
Knik	kJik
Kniz	kJis
Knjast	kJast
Knyk	kn3/*+k
Knyp	kn3/*+p
Kněz	kJIs
Kněžk	kJIs`k
Koch	kOx
Kohl	ko:l
Kopk	kOpk
Kopś	kOps+
Krajn	kraIn
Kral	kral
Krawc	kraUts
Krejc	krejts
Krejž	krejs`
Kreml	krEml;
Krim	kr1m
Krist	kr1st
Kriš	kris`
Krja	kr*ja
Krjach	kr*jax
Krjam	kr*jam
Krjom	kr*jOm
Krjow	kr*joU
Krju	kr*ju
Krol	krOl
Krosn	krOsn;
Kruš	krus`
Kryst	kr3/*+st
Krě	krI
Kubk	kupk
Kubš	kups`
Kuntš	kunts`
Kup	kup
Kupc	kupts
Kupk	kupk
Kupš	kups`
Kurd	k}rt
Kusk	kusk
Kuńš	kuJs`
Kuš	kus`
Kušk	kus`k
Kwas	kwas
Kwic	kwits
Kwick	kwitsk
Kwil	kwil
Kwětk	kwItk
Kólsk	k3lsk
Kórch	k3rx
Kós	k3s
Kót	k3t
Kótk	k3tk
Kóń	k3J
Kóńc	k3Jts
Kóš	k3s`
Kóšk	k3s`k
Köln	kH9ln
Kłos	kwOs
Kłosk	kwOsk
Kłoś	kwOs+
Kšajc	ks`aIts
Kšylc	ks`3/*+lts
LVA	ElfaU-'a
Lach	lax
Lad	lat
Ladk	latk
Laks	laks
Lanck	lantsk
Lansk	lansk
Laps	laps
Lask	lask
Latk	latk
Law	laU
Lawk	laUk
Lejn	lejn
Lem	l*jEm
Let	l*jEt
Libš	lips`
Lipk	lipk
Lips	lips
Lipsk	lipsk
Lipš	lips`
Lisk	lisk
Liz	lis
Liš	lis`
Lišk	lis`k
Lor	lOr
Lorc	lOrts
Lorš	lOrs`
Lubk	lupk
Lubń	lubJ
Lěd	lIt
Lěrš	lIrs`
Lěs	lIs
Lěsk	lIsk
Lěš	lIs`
Mach	max
Mack	matsk
Malc	malts
Mamk	mamk
Mamš	mams`
Man	man
Mann	man
Mar	mar
Mark	mark
Mars	mars
Marx	marks
Mats	mats
Matsk	matsk
Matšk	mats`k
Mazk	mask
Małk	maUk
Mańc	maJts
Mašk	mas`k
Mech	mEx
Mešk	mEs`k
Mich	mix
Milc	milts
Milk	milk
Mišk	mis`k
Mjack	mjatsk
Mjak	mjak
Mjatk	mjatk
Mjawšk	mjaUs`k
Mjałk	mjaUk
Mjec	me*^Ets
Mjel	me*^El
Mjelk	me*^Elk
Mjerš	me*^Ers`
Mjetk	me*^Etk
Mjetšk	me*^Ets`k
Mjeńk	mejNk
Mješk	me*^Es`k
Moch	mOx
Mokr	mOkr
Mokš	mOks`
Mroz	mrOs
Mrozk	mrOsk
Mur	mur
Murk	murk
Muš	mus`
Muž	mus`
Myck	m3/*+tsk
Myš	m3/*+s`
Mójk	m3jk
Mól	m3l
Mólt	m3lt
Mórk	m3rk
Mósk	m3sk
Móst	m3st
Mółt	m3wt
Móń	m3J
Měrc	mIrts
Měrk	mIrk
Měrš	mIrs`
Měst	mIst
Mět	mIt
Mětk	mItk
Mětšk	mIts`k
Měš	mIs`
Měšk	mIs`k
Młoś	mOs+
Młośc	mOs+ts
NOK	En-o'kHa:
NVA	En-faw-'a:
Nab	nap
Nak	nak
Narś	nars+
Nat	nat
Natk	natk
Nawk	naUk
Nazd	nast
Nikš	Jiks`
Nil	Jil
Nimc	Jimts
Niž	Jis`
Nižk	Jis`k
Nosk	nOsk
Nož	nOs`
Nožk	nOs`k
Nuk	nuk
Nyc	n3/*+ts
Nyč	n3/*+ts`
Nyčk	n3/*+ts`k
Nyš	n3/*+s`
Němc	JImts
Němšk	JIms`k
Ob	Op
PEN	pe-e-'En
PIN	pH1n
PLO	pe-El-'o
Pach	pax
Palc	palts
Pan	pan
Pank	paNk
Parsk	parsk
Parstk	parstk
Pawst	paUst
Paš	pas`
Pis	pis
Pisk	pisk
Pjakł	pjak
Pjatk	pjatk
Pjatr	pjatr
Pjech	pe*^Ex
Pjersk	pe*^Ersk
Pjeršk	pe*^Ers`k
Pjetš	pe*^Ets`
Pjeńk	pejNk
Pješk	pe*^Es`k
Pjoch	pjOx
Pjotš	pjOts`
Pnjow	pJoU
Po	pO
Pop	pOp
Popk	pOpk
Priz	pris
Prjask	pr*jask
Prěc	prIts
Psaŕ	psar*j
Puk	puk
Puž	pus`
Pyrk	p3/*+rk
Pójk	p3jk
Pól	p3l
Pórš	p3rs`
Póst	p3st
Pótk	p3tk
Pěch	pIx
Pěn	pIn
Pěpr	pIpr;
Pěsk	pIsk
Pět	pIt
Pětk	pItk
Pětš	pIts`
Pětšk	pIts`k
Pěš	pIs`
Pěšk	pIs`k
Pław	pwaU
Płot	pwOt
Płońc	pwOJts
Pšus	ps`us
RAM	ram
Rac	rats
Rach	rax
Rack	ratsk
Raj	raI
Rajc	raIts
Rak	rak
Rań	raJ
Rańk	raINk
Raš	ras`
Rašk	ras`k
Rentš	rEnts`
Retš	rEts`
Rešk	rEs`k
Rib	rip
Rizk	risk
Rižk	ris`k
Rjek	r*jEk
Rjenc	r*jEnts
Rjentš	r*jEnts`
Roch	rOx
Roj	rOY
Rojk	rOYk
Rom	rom
Rost	rOst
Rotk	rOtk
Roš	rOs`
Rošk	rOs`k
Rožk	rOs`k
Rul	rul
Rump	rump
Rus	rus
Ruś	rus+
Ryb	r3/*+p
Ryjnc	r3/*+jnts
Ryn	r3/*+n
Ryz	r3/*+s
Ryzk	r3/*+sk
Ryńc	r3/*+Jts
Rěc	rIts
Rěz	rIs
Rězk	rIsk
SA	Es-'a:
SLA	Es-El-'a:
SOS	Es-o-'Es
STVO	Es-te'faw-'o
Sac	sats
Sadc	sats
Saks	zaks
Sam	sam
San	san
Sankt	zaNkt
Sańk	saINk
Scon	stsOn
Scott	skOt
Sedlc	sEdl;ts
Sedł	sEt
Selc	sElts
Serb	sErp
Serbk	sErpk
Serp	sErp
Skan	skan
Skop	skOp
Skońc	skOJts
Skóck	sk3tsk
Skóńc	sk3Jts
Smack	smatsk
Smil	smil
Smilk	smilk
Smił	smiw
Smiłk	smiwk
Smjet	sme*^Et
Smok	smOk
Smějk	smejk
Směl	smIl
Smělk	smIlk
Směł	smIw
Směłk	smIwk
Sock	sOtsk
Sok	sOk
Son	sOn
Sonk	sONk
Sosn	sOsn;
Sprjejc	sprejts
Sprjojc	spr*jOYts
Spław	spwaU
Srjeńc	srejJts
Srjeńk	srejNk
Sroš	srOs`
Srošk	srOs`k
Srožk	srOs`k
Stach	stax
Starc	starts
Stań	staJ
Stańc	staJts
Stańk	staINk
Stog	stOk
Stoj	stOY
Stok	stOk
Stružk	strus`k
Stuk	stuk
Stśělc	sts+Ilts
Stśěž	sts+Is`
Suck	sutsk
Suk	suk
Suš	sus`
Sušk	sus`k
Swat	swat
Swatk	swatk
Swick	switsk
Swiž	swis`
Swór	sw3r
Swědk	swItk
Swětł	swIt
Syjk	s3/*+jk
Syk	s3/*+k
Sylt	z3/*+lt
Syn	s3/*+n
Synk	s3/*+Nk
Sćon	sts+On
Sław	swaU
Sławk	swaUk
Słomk	swOmk
TU	te-'u:
Tajnc	taInts
Tank	taNk
Tarš	tars`
Tatr	tatr
Tejk	tejk
Tell	tEl
Terš	tErs`
Teš	tEs`
Tešk	tEs`k
Tic	tits
Tkalc	tkalts
Tock	tOtsk
Tol	tOl
Tolc	tOlts
Tolk	tOlk
Ton	tOn
Tonk	tONk
Top	tHOp
Toń	tOJ
Toš	tOs`
Trosk	trOsk
Tug	tuk
Tupc	tupts
Tur	tur
Turk	turk
Twaŕc	twar*jts
Twarc	twar*jts
Tyc	t3/*+ts
Tyck	t3/*+tsk
Tyl	t3/*+l
Tylc	t3/*+lts
Tylk	t3/*+lk
Tylš	t3/*+ls`
Tyn	t3/*+n
TÜV	tYf
Tšmjel	ts`me*^El
Tšuck	ts`utsk
Tšuk	ts`uk
Tšupc	ts`upts
Tšut	ts`ut
Tšyjk	ts`3/*+jk
Tšyk	ts`3/*+k
Tšysk	ts`3/*+sk
UN	u:-'En
UV	u:'faw
WHO	ve-ha-'o
Wach	wax
Wańck	waJtsk
Waš	was`
Wit	wit
Witk	witk
Wjas	wjas
Wjatk	wjatk
Wjelc	we*^Elts
Wjelck	we*^Eltsk
Wjelk	we*^Elk
Wjelš	we*^Els`
Wjelšk	we*^Els`k
Wjenc	we*^Ents
Wjenck	we*^Entsk
Wjenk	we*^ENk
Wjerbn	we*^Erbn
Wjerch	we*^Erx
Wjerš	we*^Ers`
Wjeńš	we*^EJs`
Wnuk	nuk
Wrotk	rOtk
Wub	hup
Wuj	huj
Wujc	hujts
Wujck	hujtsk
Wujk	hujk
Wust	hust
Wustk	hustk
Wutk	hutk
Wušk	hus`k
Wuž	hus`
Wyšk	w3/*+s`k
Wójk	w3jk
Wójnk	w3jNk
Wójt	w3jt
Wójś	w3js+
Wólsk	w3lsk
Wótk	w3tk
Wółk	w3wk
Wóśk	w3s+k
Wěnc	wInts
Wěnck	wIntsk
Wěnk	wINk
Wětš	wIts`
Wěš	wIs`
Wěšk	wIs`k
Włoch	wOx
Zbrusk	zbrusk
Zel	zEl
Zemk	zemk
Zerbst	tsErpst
Zglic	zglits
Zmjel	zme*^El
Zmjet	zme*^Et
Znank	znaNk
Znawk	znaUk
Zob	zOp
Zoj	zOY
Zojt	zOYt
Zojś	zOYs+
Zon	zOn
Zonk	zONk
a	a
abt	apt
ach	ax
ad	at
aj	aI
ak	ak
akt	akt
alk	alk
alp	alp
alt	alt
amt	amt
and	Ent
ar	ar
as	as
aw	aU
až	as`
ba	ba
bab	bap
bagń	bagJ
baj	baI
bak	bak
bal	bal
bamž	bams`
band	bEnt
bant	bant
bar	bar
barc	barts
bard	bart
barw	barw
baršć	bars+ts+
bas	bas
basń	basJ
batś	bats+
bawc	baUts
bawch	baUx
bawŕ	baUr*j
baz	bas
baž	bas`
be	bE
beh	bE:
bejt	bejt
bejń	bejJ
berž	bErs`
bi	bi
bic	bits
bich	bix
bick	bitsk
big	b1k
bij	bi
bik	bik
binc	bints
bit	bit
bił	biw
biś	bis+
bjac	bjats
bjez	be*^Es
bjeŕ	be*^Er*j
blab	blap
blach	blax
blamb	blamp
blandŕ	blandr*j
blank	blaNk
blar	blar
blawŕ	blaUr*j
blaŕ	blar*j
blašk	blas`k
blid	blit
bliž	blis`
blok	blOk
blomb	blOmp
blond	blOnt
bluff	bl9f
blumb	blump
blušć	blus+ts+
bob	bOp
bobk	bOpk
bobr	bObr
bog	bOk
bok	bOk
boks	bOks
bom	bOm
bomb	bOmp
bomc	bOmts
bomk	bOmk
boms	bOms
bon	bOn
bor	bOr
bos	bOs
boss	bOs
bot	bOt
brach	brax
bradł	brat
bram	bram
bramc	bramts
bramk	bramk
brat	brat
bratš	brats`
brał	braU
braś	bras+
braš	bras`
brigg	br1g
brinc	brints
brjak	br*jak
brjazń	br*jazJ
brjažk	br*jas`k
brjeńc	breJts
brjeńk	brejNk
brjochn	br*jOxn
brjog	br*jOk
brjožk	br*jOs`k
brjuch	br*jux
brjušk	br*jus`k
brod	brOt
broj	brOY
brojm	brOYm
brojt	brOYt
brojł	brOYw
brojś	brOYs+
brojš	brOYs`
brom	brOm
brozdź	brOsts+
broń	brOJ
broź	brOs+
bruc	bruts
bruck	brutsk
brud	brut
bruk	bruk
brum	brum
brunch	brantS
brus	brus
brusk	brusk
brust	brust
bruz	brus
bruń	bruJ
bryzg	br3/*+sk
brěšć	brIs+ts+
bu	bu
bubń	bubJ
buch	bux
bujń	bujJ
buk	buk
buks	buks
bums	bums
bur	bur
bus	bus
butŕ	butr*j
buŕ	bur*j
buš	bus`
buź	bus+
buž	bus`
by	b3/*+
byc	b3/*+ts
byck	b3/*+tsk
byk	b3/*+k
byrc	b3/*+rts
byt	b3/*+t
bytś	b3/*+ts+
bytšń	b3/*+ts`Ji
byzk	b3/*+sk
był	b3/*+w
byńc	b3/*+Jts
byś	b3/*+s+
bój	b3j
bójm	b3jm
bójš	b3js`
ból	b3l
bór	b3r
běch	bIx
bědń	bIdJi
běg	bIk
běl	bIl
běłk	bIwk
běź	bIs+
běž	bIs`
błach	bwax
błam	bwam
błazń	bwazJi
błot	bOt
błow	boU
błud	but
błusk	busk
błuź	bus+
bły	b3/*+
błysk	b3/*+sk
błyšć	b3/*+s+ts+
bźach	bz+ax
bźe	bz+E
bźet	bz+Et
bźez	bz+Es
bźeł	bz+Ew
bźeś	bz+Es+
bźi	bz+i
bźim	bz+im
bźiš	bz+is`
ca	tsa
cack	tsatsk
cajk	tsaIk
cak	tsak
camp	tsamp
cap	tsap
car	tsar
cart	tsart
carń	tsarJ
cas	tsas
cash	kEs`
caz	tsas
caŕ	tsar*j
cejch	tsejx
cejź	tsejs+
cel	tsEl
cen	tsEn
cenk	tsENk
cent	tsEnt
cep	tsEp
cepk	tsEpk
cerw	tsEr*j
cesć	tsEsts+
cełk	tsEwk
ceń	tsEJ
ceŕ	tsEr*j
ceš	tsEs`
chabź	xaps+
chach	xax
charc	xarts
charm	xarm
chart	xart
chas	xas
chat	xat
chej	xej
chek	xEk
chip	ts`1p
chlimp	xlimp
chlor	klor
chlump	xlump
chlěw	xlIw
chmjel	xme*^El
chmuŕ	xmur*j
chop	xOp
chor	kOr
chrap	xrap
chrast	xrast
chrjap	xr*jap
chrjašć	xr*jas+ts+
chrom	xrOm
chromk	xrOmk
chrop	xrOp
chroś	xrOs+
chrust	xrust
chto	xtO
chtož	xtOs`
chuź	xus+
chwal	xwal
chwat	xwat
chwatk	xwatk
chwjat	xwjat
chwjał	xwjaU
chwjaś	xwjas+
chwjej	xwe*^EI
chyj	x3/*+j
chyl	x3/*+l
chyt	x3/*+t
chyś	x3/*+s+
chód	x3t
chójź	x3js+
chóšć	x3s+ts+
chłod	xwOt
chłodk	xwOtk
chłosć	xwOsts+
chłošć	xwOs+ts+
chłoź	xwOs+
cil	tsil
clach	tslax
cle	tsl*jE
clet	tsl*jEt
cleł	tsl*jEw
cleś	tsl*jEs+
cli	tsli
clim	tslim
clinch	kl1ns`
clit	tslit
clił	tsliw
cliś	tslis+
cliš	tslis`
clown	klaUn
clě	tslI
co	tsO
col	tsOl
colt	kOlt
com	tsOm
comž	tsOms`
cop	tsOp
copk	tsOpk
cotš	tsOts`
cow	tsoU
coł	tsoU
cołn	tsoUn
coš	tsOs`
což	tsOs`
crack	krEk
crash	krEs`
crew	kru
crjej	tsrej
crjejk	tsrejk
crjew	tsr*jEw
crjon	tsr*jOn
crjonk	tsr*jONk
crjop	tsr*jOp
crjopk	tsr*jOpk
crjosł	tsr*jOs
crjow	tsr*joU
cross	krOs
cu	tsu
cuj	tsuj
cup	tsup
cut	kat
cuw	tsuw
cuł	tsu
cuś	tsus+
cwjern	tswe*^Ern
cwjerń	tswe*^ErJ
cyb	ts3/*+p
cyc	ts3/*+ts
cyck	ts3/*+tsk
cyl	ts3/*+l
cym	ts3/*+m
cymp	ts3/*+mp
cymt	ts3/*+mt
cymž	ts3/*+ms`
cyn	ts3/*+n
cynk	ts3/*+Nk
cyp	ts3/*+p
cypk	ts3/*+pk
cysc	ts3/*+sts
cysć	ts3/*+sts+
cysł	ts3/*+s
cyń	ts3/*+J
cyž	ts3/*+s`
cła	tswa
cłach	tswax
cłam	tswam
cło	tswO
cłom	tswOm
cłonk	tswONk
cłow	tswoU
cłu	tswu
da	da
dach	dax
daj	daI
dal	dal
dam	dam
dan	dan
dank	daNk
dar	dar
darb	darp
darc	darts
dark	dark
darts	darts
dat	dat
daw	daU
dał	daU
dań	daJ
daŕ	dar*j
daś	das+
daź	das+
de	dE
dej	dej
dejm	dejm
dejš	dejs`
den	dEn
dep	dEp
depk	dEpk
der	dEr
derb	dErp
derk	dErk
dern	dErn
des	dEs
deŕ	dEr*j
dešć	dEs+ts+
dink	diNk
dip	dip
dis	d1s
djas	djas
dla	dla
dlach	dlax
dle	dl*jE
dlej	dlej
dlejš	dlejs`
dli	dli
dlij	dli
dlim	dlim
dlit	dlit
dlił	dliw
dliś	dlis+
dliš	dlis`
dna	dna
dnach	dnax
dnam	dnam
dnja	dJa
dnjach	dJax
dnjam	dJam
dnjom	dJOm
dnjow	dJoU
dnju	dJu
dno	dnO
dnom	dnOm
dnow	dnoU
dnu	dnu
dny	dn3/*+
dně	dJI
do	dO
dobŕ	dObr*j
doj	dOY
dojm	dOYm
dojt	dOYt
dojł	dOYw
dojś	dOYs+
dojš	dOYs`
dojź	dOYs+
dok	dOk
dom	dOm
domk	dOmk
dorš	dOrs`
dost	dOst
dosć	dOsts+
down	daUn
doł	doU
dołk	doUk
dońt	dOJt
dpa	depe-a
drap	drap
drapk	drapk
drasć	drasts+
dres	drEs
dress	drEs
drest	drEst
drift	dr1ft
dril	dr1l
drill	dr1l
drink	dr1Nk
drišć	dris+ts+
drjažń	dr*jaz`Ji
drje	dr*jE
drjon	dr*jOn
drob	drOp
drops	drOps
drosć	drOsts+
drot	drOt
drozn	drOzn
drož	drOs`
druch	drux
drums	drums
dryb	dr3/*+p
drěc	drIts
drěj	drej
drěm	drIm
drěn	drIn
drět	drIt
drěł	drIw
drěś	drIs+
du	du
dub	dup
dubc	dupts
dubk	dupk
duch	dux
duj	duj
dump	dump
dundr	dundr
dup	dup
dur	dur
dut	dut
duł	du
duś	dus+
duš	dus`
duž	dus`
dwa	dwa
dwój	dw3j
dwójc	dw3jts
dwójm	dw3jm
dwójt	dw3jt
dwójł	dw3jw
dwójś	dw3js+
dwójš	dw3js`
dwór	dw3r
dwórk	dw3rk
dwě	dwI
dwěl	dwIl
dyb	d3/*+p
dych	d3/*+x
dym	d3/*+m
dypk	d3/*+pk
dypl	d3/*+pl
dyšk	d3/*+s`k
dłoń	dwOJ
dłož	dwOs`
dług	dwuk
dłuzg	dwusk
dłuž	dwus`
dłym	dw3/*+m
dłymk	dw3/*+mk
dłyp	dw3/*+p
džus	dz`u:s
eks	Eks
en	En
fach	fax
fajn	faIn
faks	faks
fakt	fakt
falc	falts
falš	fals`
fan	fEn
fawn	faUn
fax	faks
fejn	fejn
fes	fEs
fight	faIt
fiks	f1ks
filc	f1lts
film	f1lm
fin	f1n
firm	f1rm
first	fErst
fis	f1s
fit	f1t
fjord	fjOrt
flack	flatsk
flak	flak
flanš	flans`
flawš	flaUs`
flink	fliNk
flip	fl1p
flirt	fl1rt
flis	flis
floks	flOks
flop	flOp
flor	flOr
fojt	fOYt
folk	fOlk
fon	fon
fond	fON
fonds	fON
fort	fOrt
frak	frak
fris	fri:s
fryj	fr3/*+j
fryšń	fr3/*+s`Ji
fuj	fuj
ga	ga
gab	gap
gad	gat
gag	gEk
gaj	gaI
gajk	gaIk
gang	gEN
gank	gaNk
gas	gas
gat	gat
gaw	gaU
gaz	gas
gaŕ	gar*j
gaś	gas+
gaź	gas+
gaž	gas`
gdy	gd3/*+
gdys	gd3/*+s
gdyž	gd3/*+s`
gel	gel
gelń	g*jElJ
gen	gen
gerc	g*jErts
ges	gEs
gib	gip
gin	dZ1n
gips	g1ps
girl	gErl
gis	g1s
gizk	gisk
giž	gis`
gjarb	gjarp
gjarnc	gjarnts
gjarsć	gjarsts+
gjarś	gjars+
gjarź	gjars+
glažk	glas`k
glejz	glejs
glich	glix
gliwk	gliwk
gluc	gluts
glucń	glutsJi
glě	glI
glěd	glIt
gmejm	gmejm
gna	gna
gnach	gnax
gnajs	gnaIs
gnat	gnat
gnał	gnaU
gnaś	gnas+
gnerc	gnErts
gni	gJi
gnij	gJi
gnil	gJil
gnilc	gJilts
gnit	gJit
gniw	gJiw
gnił	gJiw
gniś	gJis+
gnjech	gJEx
gnjo	gJO
gnjom	gJOm
gnjoš	gJOs`
gnoj	gnOY
gnojm	gnOYm
gnojt	gnOYt
gnojł	gnOYw
gnojś	gnOYs+
gnojš	gnOYs`
gnom	gnom
gnu	gnu
gnuj	gnuj
gnurc	gnurts
gnut	gnut
gnuł	gnu
gnuś	gnus+
gnyb	gn3/*+p
gnězdź	gJIsts+
gněś	gJIs+
golf	gOlf
gong	gON
gor	gOr
gowń	goUJ
gra	gra
grab	grap
grabc	grapts
grac	grats
grach	grax
grack	gratsk
grad	grat
graf	graf
graj	graI
gral	gra:l
gram	gram
gran	gran
grand	graN
grat	grat
grał	graU
grań	graJ
graś	gras+
grašc	gras`ts
grašk	gras`k
grib	grip
gribk	gripk
gril	gr1l
grim	grim
gris	gris
griw	griw
grjebł	gr*jEp
groch	grOx
grod	grOt
grodk	grOtk
grog	grOk
grok	grOk
gron	grOn
gros	gro
grosk	grOsk
grow	groU
groz	grOs
groń	grOJ
grošk	grOs`k
groź	grOs+
gru	gru
grunt	grunt
grus	grus
gruzk	grusk
gruź	grus+
gry	gr3/*+
grybk	gr3/*+pk
gryž	gr3/*+s`
grě	grI
grěb	grIp
grěch	grIx
grěd	grIt
grěj	grej
grět	grIt
grěł	grIw
grěś	grIs+
grěš	grIs`
gub	gup
gus	gus
gusć	gusts+
